term,df,idf
bensin,156,2.513235615065988
etanol,699,1.0184010853708911
rusak,47,3.698280409506405
mesin,119,2.78198967763225
buah,3,6.183187059294405
mercy,1,6.8763342398543505
tahan,12,5.00453206295276
tahun,43,3.7852917864960345
inggris,5,5.7777219511862405
india,19,4.573749146860305
hancur,4,5.960043507980195
hari,9,5.26689632742025
ganti,11,5.084574770626295
pompa,6,5.6235712713589825
injektor,3,6.183187059294405
semua,22,4.433987204485146
bisa,156,2.513235615065988
nyata,33,4.043120895798134
campur,696,1.022696009653772
bunuh,1,6.8763342398543505
belum,4,5.960043507980195
jalan,16,4.73626807635808
lancar,3,6.183187059294405
lama,55,3.5441297296791467
turun,53,3.5804973738500214
oktan,25,4.311384882392813
blending,3,6.183187059294405
value,1,6.8763342398543505
jadi,114,2.8245492920510458
bbm,346,1.7201566404674367
beroktan,1,6.8763342398543505
rendah,40,3.855909353709988
misal,14,4.861431219312086
ron,16,4.73626807635808
proporsi,1,6.8763342398543505
tentu,3,6.183187059294405
contoh,7,5.49003987873446
base,15,4.796892698174515
gasoline,4,5.960043507980195
hasil,14,4.861431219312086
uji,12,5.00453206295276
lab,9,5.26689632742025
perlu,24,4.350605595546096
menteri,52,3.599189506862174
esdm,48,3.6776611223036695
target,14,4.861431219312086
terap,48,3.6776611223036695
bahan,177,2.387697870122211
bakar,158,2.5005772181940644
persen,65,3.3798266783878703
mulai,31,4.10374551761457
lebih,125,2.733199513462818
cepat,14,4.861431219312086
baca,23,4.39142759006635
lengkap,20,4.5249589826908725
kerja,13,4.930424090799038
apa,28,4.202185590427822
bu,2,6.470869131746186
alhamdulillah,2,6.470869131746186
laris,2,6.470869131746186
kakak,8,5.372256843078077
jual,21,4.47843896705598
beli,30,4.13549421592915
bayi,1,6.8763342398543505
sekarang,20,4.5249589826908725
proses,3,6.183187059294405
produksi,27,4.237276910239093
kualitas,26,4.273644554409967
premium,4,5.960043507980195
minat,2,6.470869131746186
boleh,8,5.372256843078077
nego,2,6.470869131746186
tidak,186,2.338372803559709
popok,1,6.8763342398543505
toyota,27,4.237276910239093
motor,56,3.5264301525797457
corp,1,6.8763342398543505
rencana,41,3.8318118021309275
tanam,6,5.6235712713589825
investasi,4,5.960043507980195
nila,1,6.8763342398543505
rp,7,5.49003987873446
triliun,3,6.183187059294405
kembang,12,5.00453206295276
ekosistem,3,6.183187059294405
bioetanol,32,4.072973858947815
indonesia,104,2.915521070256773
langkah,23,4.39142759006635
bijak,63,3.410598337054624
perintah,83,3.138664621570982
mandatori,17,4.679109662518131
proyek,4,5.960043507980195
sebut,41,3.8318118021309275
bahlil,75,3.238748080127965
jahanam,1,6.8763342398543505
kau,4,5.960043507980195
legal,1,6.8763342398543505
emisi,85,3.115134124160788
jegal,1,6.8763342398543505
laknat,1,6.8763342398543505
memang,40,3.855909353709988
hijau,15,4.796892698174515
tuju,38,3.9059197742846496
transisi,14,4.861431219312086
energi,106,2.8966525859523897
siap,30,4.13549421592915
matang,3,6.183187059294405
capai,10,5.171586147615925
butuh,23,4.39142759006635
pasok,8,5.372256843078077
cukup,7,5.49003987873446
besar,34,4.014133358924882
tara,5,5.7777219511862405
konsumsi,29,4.168284038752141
nasional,22,4.433987204485146
lokal,19,4.573749146860305
impor,58,3.4919439765085767
biosolar,5,5.7777219511862405
biodiesel,3,6.183187059294405
kalau,63,3.410598337054624
diesel,4,5.960043507980195
organik,3,6.183187059294405
cuma,12,5.00453206295276
masih,33,4.043120895798134
full,2,6.470869131746186
minyak,54,3.5621482351818248
sawit,7,5.49003987873446
beda,6,5.6235712713589825
sama,35,3.985962481958186
biofuel,13,4.930424090799038
kandung,46,3.7193338187042375
jauh,7,5.49003987873446
arah,7,5.49003987873446
baru,56,3.5264301525797457
balap,2,6.470869131746186
kayak,11,5.084574770626295
diujicoba,1,6.8763342398543505
tolol,1,6.8763342398543505
murni,41,3.8318118021309275
kenal,5,5.7777219511862405
unggul,1,6.8763342398543505
nada,1,6.8763342398543505
suzuki,3,6.183187059294405
mitsubishi,6,5.6235712713589825
pasti,22,4.433987204485146
mobil,33,4.043120895798134
pasar,10,5.171586147615925
guna,101,2.944508607130025
hingga,48,3.6776611223036695
pikul,1,6.8763342398543505
putar,1,6.8763342398543505
informasi,2,6.470869131746186
ilmu,3,6.183187059294405
special,1,6.8763342398543505
edition,1,6.8763342398543505
halo,2,6.470869131746186
warga,2,6.470869131746186
teknik,2,6.470869131746186
kimia,9,5.26689632742025
bukan,51,3.6182377018328684
sekadar,7,5.49003987873446
ubah,9,5.26689632742025
cara,6,5.6235712713589825
pertamina,82,3.150640812617698
pertalite,55,3.5441297296791467
kata,33,4.043120895798134
karya,2,6.470869131746186
anak,3,6.183187059294405
bangsa,5,5.7777219511862405
ramah,32,4.072973858947815
lingkung,44,3.7628189306439763
banyak,66,3.36478880102333
rakyat,16,4.73626807635808
dukung,39,3.8806019663003597
jelas,23,4.39142759006635
kok,20,4.5249589826908725
kemarin,9,5.26689632742025
protes,3,6.183187059294405
keras,4,5.960043507980195
padahal,12,5.00453206295276
realisasi,1,6.8763342398543505
banget,14,4.861431219312086
orang,13,4.930424090799038
bodoh,23,4.39142759006635
bapak,1,6.8763342398543505
paham,11,5.084574770626295
inti,5,5.7777219511862405
masalah,50,3.63765578768997
kendara,119,2.78198967763225
sekretaris,1,6.8763342398543505
umum,43,3.7852917864960345
gabung,2,6.470869131746186
industri,14,4.861431219312086
kukuh,1,6.8763342398543505
mara,1,6.8763342398543505
coba,13,4.930424090799038
laku,13,4.930424090799038
japan,1,6.8763342398543505
automobile,1,6.8763342398543505
manufacturers,1,6.8763342398543505
association,1,6.8763342398543505
jumlah,9,5.26689632742025
negara,61,3.4423470353692043
asia,3,6.183187059294405
pasifik,1,6.8763342398543505
masuk,9,5.26689632742025
laksana,2,6.470869131746186
punya,27,4.237276910239093
buku,5,5.7777219511862405
pandu,5,5.7777219511862405
indak,2,6.470869131746186
injeksi,8,5.372256843078077
tinggi,39,3.8806019663003597
efek,19,4.573749146860305
sebab,26,4.273644554409967
cat,1,6.8763342398543505
tangki,30,4.13549421592915
karat,18,4.625042441247856
tank,5,5.7777219511862405
baik,26,4.273644554409967
gamabr,1,6.8763342398543505
resmi,15,4.796892698174515
mungkin,28,4.202185590427822
metanol,4,5.960043507980195
dua,3,6.183187059294405
sifat,16,4.73626807635808
higroskopis,10,5.171586147615925
sepeda,6,5.6235712713589825
depan,13,4.930424090799038
platform,1,6.8763342398543505
chassis,1,6.8763342398543505
sesuai,24,4.350605595546096
isi,24,4.350605595546096
kepala,7,5.49003987873446
tahi,2,6.470869131746186
sapi,1,6.8763342398543505
deh,3,6.183187059294405
pakai,80,3.1750322657418573
wah,3,6.183187059294405
gue,1,6.8763342398543505
bobibos,3,6.183187059294405
baham,1,6.8763342398543505
baku,11,5.084574770626295
mantap,1,6.8763342398543505
bikin,41,3.8318118021309275
bangkrut,2,6.470869131746186
pe,1,6.8763342398543505
ketawa,1,6.8763342398543505
lihat,14,4.861431219312086
kelakuam,1,6.8763342398543505
masyarakat,16,4.73626807635808
sini,11,5.084574770626295
potensi,17,4.679109662518131
logam,14,4.861431219312086
sentuh,1,6.8763342398543505
lapis,5,5.7777219511862405
air,71,3.2928153013982406
perlahan,1,6.8763342398543505
korosi,56,3.5264301525797457
bila,1,6.8763342398543505
ikut,10,5.171586147615925
sedot,2,6.470869131746186
ganggu,6,5.6235712713589825
sendat,1,6.8763342398543505
kadar,22,4.433987204485146
batas,9,5.26689632742025
larut,5,5.7777219511862405
pisah,12,5.00453206295276
berat,7,5.49003987873446
dasar,26,4.273644554409967
tempat,2,6.470869131746186
