clean_tweet,tweet_translated,polarity,sentimen
bensin etanol rusak mesin buah mercy tahan tahun inggris bensin india hancur hari ganti pompa bensin ganti injektor ganti semua bisa ganti nyata bensin campur etanol bunuh mesin belum jalan lancar lama tahun,ethanol petrol damaged engine fruit mercy lasts for years england petrol india destroyed days replace petrol pump replace injector replace all can be replaced real petrol mixed with ethanol kills engine hasn't run smoothly for years,0.20000000000000004,positive
turun oktan etanol blending value jadi campur bbm campur bensin beroktan rendah misal ron proporsi tentu contoh etanol base gasoline rendah bisa hasil ron uji lab perlu,lower octane ethanol blending value so mix fuel mixed with low octane gasoline for example ron proportions of course for example low ethanol base gasoline can result in ron lab tests required,-0.2,negative
menteri esdm target terap bahan bakar campur etanol persen e bisa mulai lebih cepat baca lengkap,minister of energy and mineral resources targets application of fuel mixed with ethanol percent e to start faster. read in full,0.175,positive
menteri esdm target terap bahan bakar campur etanol persen e bisa mulai lebih cepat baca lengkap,minister of energy and mineral resources targets application of fuel mixed with ethanol percent e to start faster. read in full,0.175,positive
kerja apa bu alhamdulillah laris kakak jual beli bayi sekarang proses produksi bayi kualitas premium campur etanol minat boleh nego tidak boleh nego popok,"what do you do ma'am, thank god it's selling well, bro, buying and selling babies now, the production process for premium quality babies mixed with ethanol, interested, negotiable, non-negotiable diapers",0.125,positive
toyota motor corp rencana tanam investasi nila rp triliun kembang ekosistem bioetanol indonesia langkah jalan bijak perintah terap mandatori bahan bakar campur etanol e proyek sebut,"toyota motor corp plans to invest idr trillion indigo to develop indonesia's bioethanol ecosystem, wise steps, mandatory implementation orders, ethanol mixed fuel, e project, call",0.35,positive
bahlil jahanam bbm campur etanol kau legal emisi kau jegal laknat,"that's a shame for fuel mixed with ethanol, your emissions are legal, you're a curse",0.1,positive
bijak mandatori e memang bisa jadi langkah hijau tuju transisi energi perlu siap matang capai campur indonesia butuh pasok etanol cukup besar tara konsumsi bensin nasional produksi lokal siap impor bisa,"wise, mandatory e can indeed be a green step towards the energy transition, it needs to be ready to be mature and mixed. indonesia needs a large enough ethanol supply compared to national gasoline consumption, locally produced, ready to be imported.",0.1349206349206349,positive
biosolar mesin biodiesel kalau diesel bbm organik biosolar cuma masih campur b full bbm minyak sawit beda kakak sama biofuel kalau biofuel kandung etanol jauh arah e baru mesin balap kayak f,"biosolar, biodiesel engine, if it's diesel, organic fuel, biosolar, only still mixes b full palm oil fuel, it's different from biofuel, if biofuel contains ethanol, it's far from e, then racing engines are like f",0.11249999999999999,positive
campur etanol memang diujicoba,the ethanol mixture was indeed tested,0.0,neutral
tolol murni campur etanol,pure gumball mixed with ethanol,0.10714285714285714,positive
kenal etanol unggul bahan campur bbm,get to know superior ethanol as a fuel mixture,0.7,positive
nada suzuki mitsubishi pasti mobil bensin pasar bisa guna bioetanol campur hingga persen,suzuki mitsubishi's opinion is that market petrol cars can use mixed bioethanol up to one percent,0.0,neutral
pikul putar informasi ilmu special edition halo warga teknik kimia etanol bukan sekadar campur ubah cara mesin kerja,"carrying around special edition science information, hello chemical engineering residents, ethanol is not just a mixture to change the way the machine works",0.35714285714285715,positive
pertamina pasar bbm bioetanol bukan pertalite bbm pertamina campur bioetanol persen,"pertamina markets bioethanol fuel instead of pertalite, pertamina fuel mixed with bioethanol percent",0.0,neutral
kata bbm ron karya anak bangsa bahan ramah lingkung banyak rakyat dukung jelas etanol murni kok dukung kemarin protes keras perintah campur etanol padahal realisasi tidak jelas banget orang indonesia bodoh,"said bbm ron, the work of the nation's children, environmentally friendly materials, many people clearly support pure ethanol, why did they support it yesterday, loudly protesting the order to mix ethanol even though the realization is not very clear, stupid indonesians",0.06440345368916799,positive
bapak tidak paham inti masalah kendara indonesia dukung bahan bakar campur etanol,"sir, you don't understand the essence of the problem with indonesian drivers supporting ethanol-mixed fuel",0.25,positive
sekretaris umum gabung industri kendara motor indonesia kukuh mara kata uji coba e campur etanol bensin laku japan automobile manufacturers association jumlah negara asia pasifik masuk indonesia laksana,general secretary joins indonesia's motor vehicle industry firmly in the word trial e mixed with ethanol gasoline sells well japan automobile manufacturers association number of asia pacific countries joining indonesia like,-0.049999999999999996,negative
coba punya buku pandu h indak injeksi baca bbm campur etanol tinggi efek sebab cat tangki rusak sebab karat tank sebab kendara tidak baik gamabr buku pandu resmi h indak,"try to have an injection manual, read fuel mixed with high ethanol, effects because the tank paint is damaged, the tank rusts, the driving is not good, a picture of the official h indak manual",-0.06333333333333332,negative
mungkin campur metanol etanol bensin dua sifat higroskopis sepeda motor pasar indonesia depan ganti platform chassis mesin sesuai bijak perintah tuju energi baru e e,maybe mix methanol ethanol petrol two hygroscopic properties indonesian market motorbike front replace engine chassis platform according to wise orders aim for new energy e e,0.41818181818181815,positive
kayak isi kepala campur tahi sapi sama etanol deh kakak,"it's like the contents of a head mixed with cow dung and ethanol, bro",-0.06666666666666667,negative
pertamina pakai campur etanol wah bodoh pertamina motor gue jadi rusak pakai bbm pertamina bobibos baham baku tanam etanol mantap karya anak bangsa bikin pertamina bangkrut pe pertamina cuma bisa ketawa lihat kelakuam masyarakat,"pertamina uses a mixture of ethanol, wow, stupid pertamina, my motorbike broke down using fuel, pertamina bobibos, ethanol planting raw materials, great work by the nation's children, makes pertamina bankrupt, pertamina can only laugh at the behavior of the people",0.0019536019536019705,positive
sini potensi karat mulai jadi tangki logam sentuh lapis air etanol perlahan korosi bila ikut sedot mesin campur bisa ganggu bakar bikin mesin sendat,"this is where the potential for rust starts to start when the metal tank touches the ethanol water layer, it slowly corrodes if it gets sucked into the engine mixture, it can disrupt the combustion, making the engine stall.",-0.15000000000000002,negative
kadar air lebih batas larut e air etanol pisah bensin campur berat air etanol turun dasar tangki tempat pompa bahan bakar kerja,the water content exceeds the soluble limit and the ethanol water separates the gasoline and mixes the weight of the ethanol water down to the bottom of the tank where the fuel pump works,-0.15555555555555559,negative
bensin campur etanol e e arti kandung etanol sisa bensin etanol punya rumus kimia sih h bahan mudah bakar serap air udara higroskopis,petrol mixed with ethanol e e meaning of ethanol content remaining petrol ethanol has a chemical formula h combustible material absorbs water air hygroscopic,0.0,neutral
kandung lebih homogen air murni lebih korosif inti etanol ubah air sekadar endap pisah mudah deteksi jadi campur lebih mudah bentuk lebih bahaya terhisap pompa sila kalau bisa bantah,"content is more homogeneous, pure water is more corrosive, the essence of ethanol changes water, just separate sediment, easy to detect, mixes, easier, shape, more danger of being inhaled by pump, please refute if you can",0.4295238095238096,positive
etanol lepas bensin bentuk campur etanol air kemudian endap dasar tangki phase separation campur etanol air isap pompa jauh lebih rusak potensi sebab mogok massal,"the ethanol is released from gasoline in the form of a mixture of ethanol with water, then it settles at the bottom of the phase separation tank, mixed with ethanol and water, the pump suction is much more likely to be damaged due to a mass breakdown",0.09375,positive
